id,name
en:inulin,Inulin
en:mollusc,Mollusc
en:pineapple-juice,Pineapple juice
en:salmon,Salmon
en:hops,Hops
en:e340ii,E340ii
en:chicory,Chicory
en:rye,Rye
en:peanut-oil,Peanut oil
en:white-beans,White beans
en:e965,E965
en:broccoli,Broccoli
en:caffeine,Caffeine
en:e325,E325
en:ingredients,ingredients
en:e160,E160
en:e297,E297
en:biotin,Biotin
en:vegetable-shortening,Vegetable shortening
en:date,Date
en:white-fish,White fish
en:e320,E320
en:apple-puree,Apple purée
en:sweetened-condensed-milk,Sweetened condensed milk
en:blackcurrant,Blackcurrant
en:orange-zest,Orange zest
en:dijon-mustard,Dijon mustard
en:green-peas,Green peas
en:sesame-oil,Sesame oil
en:cyanocobalamin,Cyanocobalamin
en:safflower,Safflower
en:hydrogenated-oil,Hydrogenated oil
en:e290,E290
en:wheat-protein,Wheat protein
en:emmental,Emmental
en:hydrogenated-vegetable-oil,Hydrogenated vegetable oil
en:pumpkin-seed,Pumpkin seed
en:contains-2-and-less-of-each-of-the-following,contains-2-and-less-of-each-of-the-following
en:lentils,Lentils
en:powdered-egg-white,Powdered egg white
en:smoke,Smoke
en:sourdough,Sourdough
en:vanilla-pod,Vanilla pod
en:shea-butter,Shea butter
en:to-preserve-freshness,to-preserve-freshness
en:brown-rice-flour,Brown rice flour
en:e334,E334
en:potato-flakes,Potato flakes
en:sour-cream,Sour cream
en:green-tea,Green tea
en:hydrolysed-soy-protein,Hydrolysed soy protein
en:whole-wheat,Whole wheat
en:e418,E418
en:peanut-paste,Peanut paste
en:tuna,Tuna
en:yellow-corn-flour,Yellow corn flour
en:algae,Algae
en:lactobacillus,Lactobacillus
en:e490,E490
en:e917,E917
en:romano-cheese,Romano cheese
en:buckwheat,Buckwheat
en:e460ii,E460ii
en:elder,Elder
en:carob-seeds,Carob seeds
en:e327,E327
en:e319,E319
en:malted-wheat-flour,Malted wheat flour
en:bread,Bread
en:partially-hydrogenated-soybean-oil,Partially hydrogenated soybean oil
en:tamarind,Tamarind
en:tapioca-syrup,Tapioca syrup
en:oat-fibre,Oat fibre
en:garlic-puree,Garlic puree
en:lactose-and-milk-proteins,Lactose and milk proteins
en:anchovy,Anchovy
en:e150d,E150d
en:coconut-milk,Coconut milk
en:e212,E212
en:red-chili-pepper,Red chili pepper
en:chia,Chia
en:ferric-orthophosphate,Ferric orthophosphate
en:cane-sugar-syrup,Cane sugar syrup
en:high-oleic-sunflower-oil,High oleic sunflower oil
en:thiamin-hydrochloride,Thiamin hydrochloride
en:orange-juice-from-concentrate,Orange juice from concentrate
en:mozzarella,Mozzarella
en:e461,E461
en:salt-from-guerande,Salt from Guérande
en:fat-reduced-cocoa,Fat reduced cocoa
en:durum-wheat-flour,Durum wheat flour
en:calcium,Calcium
en:e445,E445
en:green-onion,green-onion
en:cultured-pasteurized-milk,cultured-pasteurized-milk
en:e224,E224
en:duck,Duck
en:e501,E501
en:e281,E281
en:fruit-juice-concentrate,Fruit juice concentrate
en:brown-rice-syrup,Brown rice syrup
en:sweet-potato,Sweet potato
en:lactic-acid-starter-culture,lactic-acid-starter-culture
en:streptococcus-thermophilus,Streptococcus thermophilus
en:potato-flour,Potato flour
en:milk-protein-concentrate,Milk protein concentrate
en:white-distilled-vinegar,White distilled vinegar
en:e452i,E452i
en:white-chocolate,White chocolate
en:vital-wheat-gluten,vital-wheat-gluten
en:white-wine-vinegar,White wine vinegar
en:firming-agent,Firming agent
en:natural-colours,Natural colours
en:blackberry,Blackberry
en:bifidus,Bifidus
en:millet,Millet
en:cream-cheese,cream-cheese
en:pistachio-nuts,Pistachio nuts
en:garden-peas,Garden peas
en:crust,Crust
en:spirulina,Spirulina
en:e500i,E500i
en:strawberry-puree,Strawberry puree
en:ricotta,Ricotta
en:e920,E920
en:chia-seed,Chia seed
en:natural-lemon-flavouring,Natural lemon flavouring
en:iodine,Iodine
en:e901,E901
en:dill,Dill
en:carrot-juice,Carrot juice
en:e491,E491
en:agave-syrup,Agave syrup
en:mayonnaise,Mayonnaise
en:cardamom,Cardamom
en:malt-extract,Malt extract
en:champignon,Champignon
en:carob-seed-flour,Carob seed flour
en:e452vi,E452vi
en:baker-s-yeast,Baker's yeast
en:e333,E333
en:lactobacillus-acidophilus,Lactobacillus acidophilus
en:wheat-fiber,Wheat fiber
en:collagen,Collagen
en:milk-solids,Milk solids
en:lime,Lime
en:hydrogenated-palm-kernel-oil,Hydrogenated palm kernel oil
en:e572,E572
en:emulsifying-salts,Emulsifying salts
en:fennel,Fennel
en:lettuce,Lettuce
en:torula-yeast,Torula yeast
en:long-grain-rice,Long grain rice
en:e336,E336
en:lemon-peel,Lemon peel
en:contains-less-than-2-of-the-following,contains-less-than-2-of-the-following
en:hazelnut-paste,Hazelnut paste
en:balsamic-vinegar,Balsamic vinegar
en:microbial-coagulating-enzyme,Microbial coagulating enzyme
en:cauliflower,Cauliflower
en:black-olive,Black olive
en:red-beetroot,Red beetroot
en:mango-puree,Mango puree
