id,known,name,products,sameAs/0,url
en:soya-oil,True,Soya oil,42818,https://www.wikidata.org/wiki/Q926892,https://world.openfoodfacts.org/ingredient/soya-oil
en:lactic-ferments,True,Lactic ferments,42667,,https://world.openfoodfacts.org/ingredient/lactic-ferments
en:fat,True,Fat,42501,https://www.wikidata.org/wiki/Q127980,https://world.openfoodfacts.org/ingredient/fat
en:corn,True,Corn,42163,https://www.wikidata.org/wiki/Q11575,https://world.openfoodfacts.org/ingredient/corn
en:e471,True,E471,41260,https://www.wikidata.org/wiki/Q416711,https://world.openfoodfacts.org/ingredient/e471
en:raising-agent,True,Raising agent,40571,https://www.wikidata.org/wiki/Q908833,https://world.openfoodfacts.org/ingredient/raising-agent
en:cocoa-paste,True,Cocoa paste,39483,,https://world.openfoodfacts.org/ingredient/cocoa-paste
en:skimmed-milk-powder,True,Skimmed milk powder,39119,,https://world.openfoodfacts.org/ingredient/skimmed-milk-powder
en:e412,True,E412,38932,https://www.wikidata.org/wiki/Q422071,https://world.openfoodfacts.org/ingredient/e412
en:e202,True,E202,37861,https://www.wikidata.org/wiki/Q410744,https://world.openfoodfacts.org/ingredient/e202
en:cheese,True,Cheese,37751,https://www.wikidata.org/wiki/Q10943,https://world.openfoodfacts.org/ingredient/cheese
en:cane-sugar,True,Cane sugar,37646,https://www.wikidata.org/wiki/Q165267,https://world.openfoodfacts.org/ingredient/cane-sugar
en:glucose-fructose-syrup,True,Glucose-fructose syrup,37549,,https://world.openfoodfacts.org/ingredient/glucose-fructose-syrup
en:carrot,True,Carrot,37052,https://www.wikidata.org/wiki/Q81,https://world.openfoodfacts.org/ingredient/carrot
en:glucose-syrup,True,Glucose syrup,36959,https://www.wikidata.org/wiki/Q14770547,https://world.openfoodfacts.org/ingredient/glucose-syrup
en:stabiliser,True,Stabiliser,36321,https://www.wikidata.org/wiki/Q7595716,https://world.openfoodfacts.org/ingredient/stabiliser
en:butter,True,Butter,36126,https://www.wikidata.org/wiki/Q34172,https://world.openfoodfacts.org/ingredient/butter
en:modified-corn-starch,True,Modified corn starch,35346,,https://world.openfoodfacts.org/ingredient/modified-corn-starch
en:skimmed-milk,True,Skimmed milk,35088,https://www.wikidata.org/wiki/Q2352187,https://world.openfoodfacts.org/ingredient/skimmed-milk
en:pork,True,Pork,34268,,https://world.openfoodfacts.org/ingredient/pork
en:chocolate,True,Chocolate,34049,,https://world.openfoodfacts.org/ingredient/chocolate
en:lemon,True,Lemon,33229,https://www.wikidata.org/wiki/Q1093742,https://world.openfoodfacts.org/ingredient/lemon
en:reduced-iron,True,Reduced iron,32671,,https://world.openfoodfacts.org/ingredient/reduced-iron
en:soya-bean,True,Soya bean,31934,https://www.wikidata.org/wiki/Q11006,https://world.openfoodfacts.org/ingredient/soya-bean
en:thickener,True,Thickener,31858,https://www.wikidata.org/wiki/Q911138,https://world.openfoodfacts.org/ingredient/thickener
en:berries,True,Berries,31327,,https://world.openfoodfacts.org/ingredient/berries
en:meat,True,Meat,30621,,https://world.openfoodfacts.org/ingredient/meat
en:natural-and-artificial-flavouring,True,Natural and artificial flavouring,30603,,https://world.openfoodfacts.org/ingredient/natural-and-artificial-flavouring
en:e407,True,E407,30528,https://www.wikidata.org/wiki/Q421991,https://world.openfoodfacts.org/ingredient/e407
en:e450,True,E450,30231,https://www.wikidata.org/wiki/Q290828,https://world.openfoodfacts.org/ingredient/e450
en:chili-pepper,True,Chili pepper,30067,https://www.wikidata.org/wiki/Q165199,https://world.openfoodfacts.org/ingredient/chili-pepper
en:animal-protein,True,Animal protein,29533,,https://world.openfoodfacts.org/ingredient/animal-protein
en:acidity-regulator,True,Acidity regulator,29430,https://www.wikidata.org/wiki/Q898753,https://world.openfoodfacts.org/ingredient/acidity-regulator
en:apple,True,Apple,29184,https://www.wikidata.org/wiki/Q89,https://world.openfoodfacts.org/ingredient/apple
en:milk-proteins,True,Milk proteins,28946,,https://world.openfoodfacts.org/ingredient/milk-proteins
en:vanilla,True,Vanilla,28650,https://www.wikidata.org/wiki/Q13241,https://world.openfoodfacts.org/ingredient/vanilla
en:olive-oil,True,Olive oil,28300,https://www.wikidata.org/wiki/Q93165,https://world.openfoodfacts.org/ingredient/olive-oil
en:e440a,True,E440a,28193,https://www.wikidata.org/wiki/Q188154,https://world.openfoodfacts.org/ingredient/e440a
en:gluten,True,Gluten,27903,,https://world.openfoodfacts.org/ingredient/gluten
en:e250,True,E250,27670,https://www.wikidata.org/wiki/Q339975,https://world.openfoodfacts.org/ingredient/e250
en:potato,True,Potato,27133,https://www.wikidata.org/wiki/Q16587531,https://world.openfoodfacts.org/ingredient/potato
en:yeast-extract,True,Yeast extract,27112,,https://world.openfoodfacts.org/ingredient/yeast-extract
en:e150a,True,E150a,27097,https://www.wikidata.org/wiki/Q227816,https://world.openfoodfacts.org/ingredient/e150a
en:canola-oil,True,Canola oil,26502,,https://world.openfoodfacts.org/ingredient/canola-oil
en:almond,True,Almond,26426,https://www.wikidata.org/wiki/Q184357,https://world.openfoodfacts.org/ingredient/almond
en:garlic-powder,True,Garlic powder,25934,,https://world.openfoodfacts.org/ingredient/garlic-powder
en:colza-oil,True,Colza oil,25339,https://www.wikidata.org/wiki/Q697248,https://world.openfoodfacts.org/ingredient/colza-oil
en:e341,True,E341,25324,https://www.wikidata.org/wiki/Q426664,https://world.openfoodfacts.org/ingredient/e341
en:poultry,True,Poultry,25324,https://www.wikidata.org/wiki/Q178559,https://world.openfoodfacts.org/ingredient/poultry
en:vegetable-protein,True,Vegetable protein,24769,,https://world.openfoodfacts.org/ingredient/vegetable-protein
en:oat,True,Oat,24751,https://www.wikidata.org/wiki/Q24265484,https://world.openfoodfacts.org/ingredient/oat
en:honey,True,Honey,24749,https://www.wikidata.org/wiki/Q10987,https://world.openfoodfacts.org/ingredient/honey
en:e129,True,E129,24138,https://www.wikidata.org/wiki/Q419895,https://world.openfoodfacts.org/ingredient/e129
en:barley,True,Barley,24053,https://www.wikidata.org/wiki/Q61665121,https://world.openfoodfacts.org/ingredient/barley
en:cocoa-powder,True,Cocoa powder,24031,https://www.wikidata.org/wiki/Q1062396,https://world.openfoodfacts.org/ingredient/cocoa-powder
en:milkfat,True,Milkfat,23573,,https://world.openfoodfacts.org/ingredient/milkfat
en:rice-flour,True,Rice flour,23567,https://www.wikidata.org/wiki/Q1269205,https://world.openfoodfacts.org/ingredient/rice-flour
en:high-fructose-corn-syrup,True,High fructose corn syrup,23541,,https://world.openfoodfacts.org/ingredient/high-fructose-corn-syrup
en:e270,True,E270,23423,https://www.wikidata.org/wiki/Q161249,https://world.openfoodfacts.org/ingredient/e270
en:e410,True,E410,23229,https://www.wikidata.org/wiki/Q221391,https://world.openfoodfacts.org/ingredient/e410
en:pasteurised-milk,True,Pasteurised milk,23198,,https://world.openfoodfacts.org/ingredient/pasteurised-milk
en:parsley,True,Parsley,23168,https://www.wikidata.org/wiki/q65522500,https://world.openfoodfacts.org/ingredient/parsley
en:malt,True,Malt,22850,https://www.wikidata.org/wiki/Q152024,https://world.openfoodfacts.org/ingredient/malt
en:pork-meat,True,Pork meat,22664,,https://world.openfoodfacts.org/ingredient/pork-meat
en:tomato-concentrate,True,Tomato concentrate,22656,https://www.wikidata.org/wiki/Q1499073,https://world.openfoodfacts.org/ingredient/tomato-concentrate
en:paprika,True,Paprika,22553,https://www.wikidata.org/wiki/Q3127593,https://world.openfoodfacts.org/ingredient/paprika
en:lactose,True,Lactose,22274,,https://world.openfoodfacts.org/ingredient/lactose
en:e102,True,E102,21853,https://www.wikidata.org/wiki/Q407158,https://world.openfoodfacts.org/ingredient/e102
en:mustard,True,Mustard,21624,https://www.wikidata.org/wiki/Q131748,https://world.openfoodfacts.org/ingredient/mustard
en:potato-starch,True,Potato starch,21414,https://www.wikidata.org/wiki/Q715160,https://world.openfoodfacts.org/ingredient/potato-starch
en:sauce,True,Sauce,21292,https://www.wikidata.org/wiki/Q178359,https://world.openfoodfacts.org/ingredient/sauce
en:vitamin-a,True,Vitamin A,21135,https://www.wikidata.org/wiki/Q18225,https://world.openfoodfacts.org/ingredient/vitamin-a
en:alcohol,True,Alcohol,21092,,https://world.openfoodfacts.org/ingredient/alcohol
en:turmeric,True,Turmeric,20121,https://www.wikidata.org/wiki/Q42562,https://world.openfoodfacts.org/ingredient/turmeric
en:sodium,True,Sodium,20023,https://www.wikidata.org/wiki/Q658,https://world.openfoodfacts.org/ingredient/sodium
en:e133,True,E133,20021,https://www.wikidata.org/wiki/Q420093,https://world.openfoodfacts.org/ingredient/e133
en:fish,True,Fish,19683,https://www.wikidata.org/wiki/Q600396,https://world.openfoodfacts.org/ingredient/fish
en:whole-milk-powder,True,Whole milk powder,19612,,https://world.openfoodfacts.org/ingredient/whole-milk-powder
en:e339,True,E339,19487,https://www.wikidata.org/wiki/Q3249706,https://world.openfoodfacts.org/ingredient/e339
en:e160b,True,E160b,19424,,https://world.openfoodfacts.org/ingredient/e160b
en:celery,True,Celery,19365,https://www.wikidata.org/wiki/Q23012379,https://world.openfoodfacts.org/ingredient/celery
en:coconut,True,Coconut,19303,https://www.wikidata.org/wiki/Q3342808,https://world.openfoodfacts.org/ingredient/coconut
en:grape,True,Grape,19262,https://www.wikidata.org/wiki/Q10978,https://world.openfoodfacts.org/ingredient/grape
en:wheat-gluten,True,Wheat gluten,19109,,https://world.openfoodfacts.org/ingredient/wheat-gluten
en:vitamin-d,True,Vitamin D,18632,https://www.wikidata.org/wiki/Q175621,https://world.openfoodfacts.org/ingredient/vitamin-d
en:fiber,True,Fiber,18611,https://www.wikidata.org/wiki/Q161,https://world.openfoodfacts.org/ingredient/fiber
en:coconut-oil,True,Coconut oil,18468,https://www.wikidata.org/wiki/Q216235,https://world.openfoodfacts.org/ingredient/coconut-oil
en:peanut,True,Peanut,18336,,https://world.openfoodfacts.org/ingredient/peanut
en:barley-flour,True,Barley flour,18137,,https://world.openfoodfacts.org/ingredient/barley-flour
en:beef,True,Beef,18135,,https://world.openfoodfacts.org/ingredient/beef
en:red-bell-pepper,True,Red bell pepper,17820,,https://world.openfoodfacts.org/ingredient/red-bell-pepper
en:e211,True,E211,17806,https://www.wikidata.org/wiki/Q423971,https://world.openfoodfacts.org/ingredient/e211
en:black-pepper,True,Black pepper,17728,,https://world.openfoodfacts.org/ingredient/black-pepper
en:sodium-citrate,True,Sodium citrate,17684,,https://world.openfoodfacts.org/ingredient/sodium-citrate
en:semolina,True,Semolina,17543,,https://world.openfoodfacts.org/ingredient/semolina
en:chicken,True,Chicken,17541,https://www.wikidata.org/wiki/Q780,https://world.openfoodfacts.org/ingredient/chicken
en:egg-yolk,True,Egg yolk,17341,https://www.wikidata.org/wiki/Q1302994,https://world.openfoodfacts.org/ingredient/egg-yolk
en:egg-white,True,Egg white,17165,https://www.wikidata.org/wiki/Q796758,https://world.openfoodfacts.org/ingredient/egg-white
en:malted-barley,True,Malted barley,17060,,https://world.openfoodfacts.org/ingredient/malted-barley
en:vegetable-fiber,True,Vegetable fiber,17004,https://www.wikidata.org/wiki/Q20026824,https://world.openfoodfacts.org/ingredient/vegetable-fiber
en:wheat-starch,True,Wheat starch,16964,,https://world.openfoodfacts.org/ingredient/wheat-starch
en:hydrolysed-vegetable-protein,True,Hydrolysed vegetable protein,16952,,https://world.openfoodfacts.org/ingredient/hydrolysed-vegetable-protein
en:sunflower,True,Sunflower,16944,https://www.wikidata.org/wiki/Q26949,https://world.openfoodfacts.org/ingredient/sunflower
en:e450i,True,E450i,16911,https://www.wikidata.org/wiki/Q290828,https://world.openfoodfacts.org/ingredient/e450i
en:barley-malt-flour,True,Barley malt flour,16878,,https://world.openfoodfacts.org/ingredient/barley-malt-flour
en:e160a,True,E160a,16586,https://www.wikidata.org/wiki/Q190156,https://world.openfoodfacts.org/ingredient/e160a
en:e428,True,E428,16568,,https://world.openfoodfacts.org/ingredient/e428
en:vanilla-flavouring,True,Vanilla flavouring,16483,,https://world.openfoodfacts.org/ingredient/vanilla-flavouring
